Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Abnormalities,Wounds will not heal,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,Abdomen,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,Chest,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,Chest tightness,0,0,1
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,Head,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,"Head, Severe",0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,Heart,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,Joint,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,Mouth,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,"Muscle, Dull",1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,"Muscle, Sharp",1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,Sinus,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Aches and Pain,Urination,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Bleeding,Stools,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Bleeding,Unusual,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Bleeding,Urine,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Breathing Problems,Closing up of throat,0,0,1
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Breathing Problems,Shortness of breath,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Breathing Problems,Wheezing (breathing out),0,0,1
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Bruising,Easily,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Cough,General,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Cramps,General,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Difficulty,Breathing in,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Difficulty,Breathing out,0,0,1
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Fever,37 degrees Celsius,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Fever,38 degrees Celsius or higher,0,0,1
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Flu,"Sore throat, Severe",0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Gastrointestinal Problems,Abdominal pain,0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Gastrointestinal Problems,Diarrhoea,1,4,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Gastrointestinal Problems,Poor appetite,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Gastrointestinal Problems,Vomiting,0,4,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Heart Problems,Pain,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Heart Problems,Palpitation,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Heart Problems,Rapid beating,1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Heart Problems,"Rapid beating, Continuos",0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Infection,"General, Mild",1,0,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Infection,"General, Severe",0,1,0
Blood,"Leukemia, Chronic Lymphocytic",Gazyva,Itching,Anus,0,1,0
